,Round,Project Name,Applicant Name,State,City,Project Type,Urban / Rural,Funding Request,Project Cost,Applicant Type,Grant
0,2009,Alabama Black Belt Infrastructure and Development Project,Alabama Department of Transportation,Alabama,Montgomery,Rail,Rural,65300000.0,79700000.0,State Govt.,TIGER 2009
1,2009,I-20 Widening and Interstate Preservation from Western Talladega County East for a Distance of 4.1 Miles,Alabama Department of Transportation,Alabama,Montgomery,Road,Rural,42744832.0,42744832.0,State Govt.,TIGER 2009
2,2009,LINDEN BYPASS (STATE ROUTE (SR) 13 RELOCATION) FROM U.S. 43 SOUTH OF LINDEN TO SR-28 EAST OF LINDEN INCLUDING EXTENSION OF SR-69 SOUTH OF LINDEN,Alabama Department of Transportation,Alabama,Montgomery,Road,Urban/Rural,33500000.0,33500000.0,State Govt.,TIGER 2009
3,2009,MONTGOMERY OUTER LOOP (STATE ROUTE 108) FROM U.S. 231 (SR-6) TO I-85,Alabama Department of Transportation,Alabama,Montgomery,Road,Urban,108000000.0,183000000.0,State Govt.,TIGER 2009
4,2009,U.S. Highway 80 Additional Lanes From US Highway 11 to State Road 17,Alabama Department of Transportation,Alabama,Montgomery,Road,Rural,25000000.0,25000000.0,State Govt.,TIGER 2009
5,2009,US 280 Elevated Roadway From 0.6 Miles West of I-459 to Eat of Eagle Point Parkway,Alabama Department of Transportation,Alabama,Montgomery,Road,Urban,200000000.0,480000000.0,State Govt.,TIGER 2009
6,2009,"Widening of Interstate 65 from US 31 at Alabaster, Alabama to County Road 52",Alabama Department of Transportation,Alabama,Montgomery,Road,Urban,46000000.0,46000000.0,State Govt.,TIGER 2009
7,2009,Garrows Bend Intermodal Container Transfer Facility,Alabama State Port Authority,Alabama,Mobile,Maritime,Urban,66500000.0,92300000.0,Port Authority,TIGER 2009
8,2009,Bibb County (Brierfield Ironworks) Short-Line Railroad,"Bibb County, Alabama",Alabama,Tuscaloosa,Rail,Rural,10000000.0,13046250.0,Local Govt.,TIGER 2009
9,2009,Brundidge Rail Spur Project,City of Brundidge Alabama,Alabama,Brundidge,Rail,Rural,13000000.0,13000000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
10,2009,Alabama Highway 167 N 4-Laning,City of Enterprise,Alabama,Enterprise,Road,Rural,149172713.0,149172713.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
11,2009,Foley Crossroads Town Center,"City of Foley, AL",Alabama,Foley,Bicycle and Pedestrian,Urban,5000000.0,60000000.0,Local Govt.,TIGER 2009
12,2009,"Sidewalk, Greenway, & Roadway Improvements","City of Headland, AL",Alabama,Headland,Road,Urban,6323360.0,6323360.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
13,2009,Ross Bridge Parkway Extension,"City of Hoover, AL",Alabama,Birmingham,Road,Urban,75000000.0,75000000.0,Local Govt.,TIGER 2009
14,2009,Phillips Road Bypass Corridor Project,City of Lanett,Alabama,Lanett,Road,Rural,32000000.0,32000000.0,State Govt.,TIGER 2009
15,2009,Mobile Intermodal Passenger Terminal Complex,City of Mobile,Alabama,Mobile,Maritime,Urban,19000000.0,59375000.0,Local Govt.,TIGER 2009
16,2009,City of Montgomery – Montgomery Area Transit System,City of Montgomery,Alabama,Montgomery,Transit,Urban,10750000.0,10750000.0,Transit Agency,TIGER 2009
17,2009,Improving various Federal aid system highway/roadway infrastructures in the City of Montgomery municipal limits,City of Montgomery,Alabama,Montgomery,Road,Urban,24472250.0,24472250.0,Local Govt.,TIGER 2009
18,2009,Highway Improvement Project,City of Opelika,Alabama,Opelika,Road,Urban,27887500.0,29101250.0,Local Govt.,TIGER 2009
19,2009,"Roadway, Street Resurfacing, & Storm Drainage Improvements","City of Slocomb, Alabama",Alabama,Slocomb,Road,Urban/Rural,2000000.0,1835000.0,Local Govt.,TIGER 2009
20,2009,Southeast Alabama Economic Recovery Project: Troy East-West Traffic Corridor,"City of Troy, Alabama",Alabama,Troy,Road,Urban,11884895.0,11884895.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
21,2009,"The Jack Warner Parkway/Martin Luther King, Jr. Boulevard Connector Project",City of Tuscaloosa,Alabama,Tuscaloosa,Road,Urban,20082178.0,20082178.0,Local Govt.,TIGER 2009
22,2009,The McWright’s Ferry Road Extension to Rice Mine Road Project,City of Tuscaloosa,Alabama,Tuscaloosa,Road,Urban,50015000.0,57500000.0,Local Govt.,TIGER 2009
23,2009,Cullman Road Improvement,Cullman County Commission,Alabama,Cullman,Road,Rural,22093137.0,22093137.0,Local Govt.,TIGER 2009
24,2009,Alabama Bridges to Economic Recovery,Elmore County Highway Department,Alabama,Wetumpka,Road,Rural,96960102.0,96960012.0,Local Govt.,TIGER 2009
25,2009,Florence-Lauderdale County River Port Revitalization,Florence Lauderdale County Port Authority,Alabama,Florence,Maritime,Urban,28332500.0,28732500.0,Port Authority,TIGER 2009
26,2009,"Road Construction, Infrastructure, and Airport Expansion Project",Gadsen Airport Authority,Alabama,Gadsden,Road,Urban,21166000.0,21166000.0,Port Authority,TIGER 2009
27,2009,Base Realignment Closure (BRAC) and related Regional Employment Centers TRansportation System Road and Bridge Improvements,Lee County Commission,Alabama,Opelika,Road,Urban/Rural,13299000.0,13299000.0,Local Govt.,TIGER 2009
28,2009,PROPOSED ROADWAY IMPROVEMENTS,"LOWNDES COUNTY, ALABAMA",Alabama,Montgomery,Road,Rural,5080122.0,5080122.0,Local Govt.,TIGER 2009
29,2009,Macon Outdoors Alabama Recreation & (MOAR) Heritage Park,Macon County Commission,Alabama,Tuskegee Institute,Other,Rural,36130013.0,36528013.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
30,2009,Shoals Railroad Relocation Project RRS-8817(1),Northwest Alabama Council of Local Governments,Alabama,Muscle Shoals,Rail,Urban,81700000.0,83500000.0,Metropolitan Planning Org,TIGER 2009
31,2009,Birmingham In-town Transit Partnership Project,The Regional Planning Commission of Greater Birmingham,Alabama,Birmingham,Transit,Urban,65000000.0,65000000.0,Metropolitan Planning Org,TIGER 2009
32,2009,West Campus Storm Drain Project,The University of Alabama,Alabama,Tuscaloosa,Other,Urban,23444311.0,23444311.0,Other,TIGER 2009
33,2009,Cottonwood Tiger Grant 2009,"Town of Cottonwood, Alabama",Alabama,Cottonwood,Road,Rural,2724977.0,2724977.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
34,2009,Ketchikan Shipyard (KSY) Improvements,Alaska Industrial Development and Export Authority,Alaska,Anchorage,Transit,Urban,73670000.0,111671000.0,Transit Agency,TIGER 2009
35,2009,Alaska Railroad South Central Commuter Rail Corridor Project,Alaska Railroad Corporation,Alaska,Anchorage,Transit,Urban,61140400.0,157514883.0,Transit Agency,TIGER 2009
36,2009,AUKE BAY LOADING FACILITY (ABLF) - PHASE II,City and Borough of Juneau,Alaska,Juneau,Maritime,Rural,3640000.0,14834741.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
37,2009,Transit Maintenance Bldg. Upgrades & Ground Source Heat Pump System,City and Borough of Juneau,Alaska,Juneau,Other,Rural,4700000.0,4639437.0,Local Govt.,TIGER 2009
38,2009,Illinois Street Reconstruction Project,City of Fairbanks,Alaska,Fairbanks,Road,Urban,15000000.0,30000000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
39,2009,Berths I & II Ketchikan,"City of Ketchikan, Alaska",Alaska,Ketchikan,Maritime,Urban,20000000.0,26000000.0,Local Govt.,TIGER 2009
40,2009,Water Street #2 Trestle Replacement,"City of Ketchikan, Alaska",Alaska,Ketchikan,Road,Urban,11600000.0,11600000.0,Local Govt.,TIGER 2009
41,2009,Seward Marine Industrial Center (SMIC) Infrastructure Improvements,City of Seward,Alaska,Seward,Maritime,Urban,16900000.0,16900000.0,Local Govt.,TIGER 2009
