,Modal Administration,Urban/Rural,Project Name,Applicant,Round,cap_plan,Project Type,Project Description,Amount,coord,lat,lon
0,FTA,Urban,Green Fleet Procurement,Regional Transportation Commission of Southern Nevada,2016,Capital,Transit,The project will replace diesel transit buses at the end of their designed service life with approximately 25 new clean-running compressed natural gas (CNG) transit vehicles.,13324000.0,"(36.1823, -115.1645)",36.1823,-115.1645
1,FHWA,Rural,Downtown Dahlonega Complete Streets Corridor Improvements,City of Dahlonega,2014,Capital,Road,The project would create Complete Streets to better connect Dahlonega's historic business district and the University of North Georgia.  ,5100000.0,"(34.529753, -83.984814)",34.529753,-83.984814
2,FHWA,Urban,Re-Connecting Cleveland: Pathways to Opportunity,Cleveland Metropolitan Park District,2016,Capital,Road,"The project will construct approximately 4 miles of regional bicycle and pedestrian trails, including a bridge to the lakefront, to complete an active transportation network.",7950000.0,"(41.4921, -81.6709)",41.4921,-81.6709
3,FHWA,Urban,Hollister Avenue Complete Streets Corridor Plan,City of Goleta,2014,Planning,Road,The Hollister Avenue Complete Streets Corridor planning project would conduct engineering and traffic studies on a 0.8 mile Complete Street in the Old Town Goleta neighborhood.,236000.0,"(34.433178, -119.840369)",34.433178,-119.840369
4,FHWA,Urban,18th Street Viaduct Planning Project,"City of Sioux City, Iowa",2014,Planning,Road,The 18th Street Viaduct Planning Project will conduct planning and design for a viaduct that will span over several railroad tracks.,1000000.0,"(42.504993, -96.393464)",42.504993,-96.393464
5,FHWA,Urban,Bronx River Greenway: Bridge the Critical South Bronx Gap,City of New York (Parks & Recreation Department),2015,Capital,Bicycle-Pedestrian,The Bronx River Greenway Project will close the South Bronx gap in the Bronx River Greenway through the construction of approximately 0.75 miles of bike and pedestrian trails and two bicycle/pedestrian bridges.,10000000.0,"(40.8297, -73.8697)",40.8297,-73.8697
6,FHWA,Urban,Warehouse District Complete Streets Project,"City of Peoria, Illinois",2010,Capital,Road,"The project will include the design and construction of a Complete Street network in Peoria’s Downtown Warehouse District, which was once a thriving commercial activity center. The money will help the City of Peoria pursue plans to revitalize the area through mixed-used development, combining housing with shopping and work destinations. The project will improve the local road system to encourage walking trips through sidewalk and streetscape improvements in support of mixed-use development on the 185-acre site. Among the benefits are bringing dilapidated, and in some cases non-existent, sidewalks into a state of good repair and ADA compliance, while boosting the downtown economy.",10000000.0,"(40.705628, -89.590867)",40.705628,-89.590867
7,FRA,Urban,Charlotte Gateway Station Track and Safety Improvements,City of Charlotte and North Carolina Department of Transportation,2015,Capital,Passenger Rail,"The Charlotte Gateway Station Track and Safety Improvements  Project will remove existing track infrastructure, construct bridge and retaining structures, install station tracks, and install signals to facilitate the Charlotte Gateway Station.",25000000.0,"(35.2277, -80.8446)",35.2277,-80.8446
8,FTA/TIFIA,Urban,DART Orange Line Extension,Dallas Area Rapid Transit,2011,Capital,Transit,"The Orange Line (I-3) extension will complete the final segment of a 14.5-mile light rail link from Downtown Dallas to Dallas Fort Worth International Airport (DFW).  A TIGER III grant will allow Dallas Area Rapid Transit (DART) to leverage a TIFIA loan that will help fund construction of the final rail segment (including associated power, signal, and fare collection systems) and a station at DFW Terminal A.",5000000.0,"(32.777933, -96.796004)",32.777933,-96.796004
9,FHWA,Urban,Hull Street Corridor Revitalization,"City of Richmond, Virginia",2010,Planning,Planning,"Richmond and Chesterfield will develop an inter-jurisdictional comprehensive corridor revitalization plan for 4.1 miles of Hull Street Road. The proposed revitalization plan will begin with a series of studies on regarding different aspects of the corridor, including zoning and land-use, traffic circulation and connectivity, streetscaping, housing, infrastructure, demographics, public open space and community services. It will incorporate a community outreach strategy; a sustainability approach including green building principles; a market analysis; a housing strategy; a list of proposed incentives for businesses, property owners, developers, and residences; an open space and recreation plan; adaptive reuse of vacant property; and the identification of funding sources.",100000.0,"(37.539474, -77.432445)",37.539474,-77.432445
10,MARAD,Urban,Port of Hueneme Intermodal Improvement Project,Oxnard Harbor District (Port of Hueneme),2015,Capital,Maritime,"The Port of Hueneme Intermodal Improvement Project includes deepening Berths 1 and 2, strengthening Wharf 1, modernizing cargo handling infrastructure, and extending on-dock rail.",12300000.0,"(34.1745, -119.2049)",34.1745,-119.2049
11,FHWA,Rural,Poplar Airport Redevelopment and Regional Access Project,Assiniboine & Sioux Tribes of the Fort Peck Reservation,2014,Planning,Road,The Poplar Airport Redevelopment and Regional Access Project will complete pre-construction activities for transportation improvements associated with two phases of planned commercial and residential redevelopment on the site of the former Poplar Airport on the Fort Peck Reservation in Montana.  ,692829.0,"(48.115701, -105.184371)",48.115701,-105.184371
12,FRA,Rural,New Hampshire Northcoast Rail Corridor Improvements,New Hampshire DOT,2013,Capital,Rail,"TIGER funds will make upgrades and repairs along 42 miles of mainline rail between Rollinsford and Ossipee, New Hampshire, which connect the region to the national rail network in Boston. The rail line is in poor condition and in need of repair, with some sections determined to be unusable and unsafe. The project will also repair a .7-mile section of washed-out track and upgrade two grade crossings for safety reasons. The state and the New Hampshire Northcoast Railroad are providing financial support for the project.",1400000.0,"(43.427072, -71.084247)",43.427072,-71.084247
13,FRA,Rural,Great Western Freight Improvement,Town Of Windsor,2013,Capital,Rail,"TIGER funds will establish an Federal Railroad Administration defined quiet zone through two main residential areas in the Town of Windsor, including constructing and adding safety measures at ten public grade crossings. Increases in local railroad activity levels and the rapidly expanding residential and industrial community surrounding the railroad line have resulted in noisy rail activity in the town. In addition to alleviating noise concerns, the project promotes safety by reducing the likelihood of grade crossing accidents by upgrading crossing warning devices. ",2790185.0,"(40.478472, -104.895018)",40.478472,-104.895018
14,FHWA,Urban,Burlington Waterfront North Project,City of Burlington,2009,Capital,Road,"The project involves the rehabilitation, reconstruction and upgrading of a 1,355 foot section of Lake Street– the principal north-south access roadway servicing the downtown waterfront–and the realignment and improvement of a section of the Waterfront Bike path that traverses the project area, leveraging more than $21 million in additional funding, including more than $13 million in new private investments. Reconfiguration of the road and bike path will improve safety by reducing conflicts among vehicular, pedestrian, and bicycle traffic, while also maximizing land available for economic redevelopment. This project is located in a HUD-designated Renewal Community, where 77 percent of residents are low/moderate income and the poverty rate is 31.4 percent--almost 2.5 times the national rate.",3150000.0,"(44.472002, -73.204986)",44.472002,-73.204986
15,FRA,Urban,Niagara Falls Rail Station ,City of Niagara Falls,2010,Capital,Rail,"This completes the third and final phase of the City of Niagara Falls International Railway Station and Intermodal Transportation Center Project. The final phase will relocate Amtrak’s passenger terminal from an inconvenient site outside the city center to a more ideal downtown location, addressing safety and efficiency concerns for Amtrak and freight rail at the U.S.-Canadian border, improving border crossing speed and comfort, and encouraging interconnectivity of multiple modes of transportation.",16500000.0,"(43.098977, -79.033005)",43.098977,-79.033005
16,FHWA,Rural,L?hu‘e Town Core Mobility and Revitalization,County of Kaua'i,2015,Capital,Road,"The Lihu’e Town Core Mobility and Revitalization Project will improve bicycling, walking and transit conditions in the town core. The project includes streetscape improvements and road diet, development of a transit service center, new sidewalks and a shared use path, and converting existing streets to a transit hub and bicycle boulevard.",13815100.0,"(21.9931, -159.4266)",21.9931,-159.4266
17,FTA,Urban,LYNX Blue Line Capacity Expansion  ,City of Charlotte,2011,Capital,Transit,"The project will expand capacity on the southern corridor of the LYNX Blue Line Light Rail in order to improve service during peak hours and for special events.  A TIGER III grant would allow the Charlotte Area Transit System install additional power substations and to extend platforms at three stations – I-485/South Blvd, Third Street, and Seventh Street Stations – in order fully accommodate demand from both commuters and travelers to major arenas, stadia, and the convention center in the City of Charlotte.",18000000.0,"(35.21528, -80.839162)",35.21528,-80.839162
18,FTA,Rural,Linking the Rural Regions of Five Counties in Maine ,Penobscot County,2010,Planning,Planning,"A feasibility study will be performed to determine the regional transportation needs and assets of five rural counties, with a particular focus on its aging population. Community partners and the Margaret Chase Smith Policy Center, part of the University of Maine, will assist with data collection, evaluation and community outreach.",770988.0,"(45.385325, -68.637726)",45.385325,-68.637726
19,FHWA,Urban,Southeast Connector Road Project,"City of Des Moines, IA",2012,Capital,Road,"TIGER funds will be used to build a 2.1 mile extension of Martin Luther King Jr. Parkway, which is part of a larger project to connect downtown Des Moines through the industrial southeast quadrant of the city to the U.S. 65 Beltway. The project will provide a direct connection for residents and businesses through this area, while also providing bicycle lanes and sidewalk along the entire length of the roadway.",10000000.0,"(41.582116, -93.618862)",41.582116,-93.618862
20,FRA,Rural,Western Corridor Rail Rehabilitation,Vermont Agency of Transportation,2013,Capital,Rail,"TIGER funds will be used to replace nine miles of old jointed rail with continuously welded rail, as well as new surfacing, ballast, and ties. The project will bring a 20-mile segment of the Vermont Railway to FRA class III status, which will allow trains to carry heavier loads and safely operate at faster speeds.",8992007.0,"(43.721654, -73.038778)",43.721654,-73.038778
21,FRA,Rural,The Northeastern NC Rail Improvement Project,North Carolina Department of Transportation,2014,Capital,Freight Rail,"This project will rehabilitate portions of a 52 mile rail corridor to allow for the operation of 286k lb rail cars along its length, including installation of new rail. rehabilitation of four highway grade crossings, and roadbed redsurfacing.",5800000.0,"(36.541571, -77.186508)",36.541571,-77.186508
22,MARAD,Urban,The Southwestern Illinois Intermodal Freight Transportation Hub,Tri-City Port District,2009,Capital,Rail,"This involves the construction of a public harbor on the Mississippi River which will be used for barge loading and unloading. The primary products to be moved are liquid and dry bulk products which will interface with associated rail and truck connections. The project will allow the Tri-City Regional Port District to expand barge, rail and truck transportation systems in the region and allow shippers, including Midwest agricultural shippers, to move goods down the Mississippi River from Illinois to the Gulf of Mexico without the use of a lock. This expands the export trade for U.S. agricultural products by enhancing the movement of agricultural products down the Mississippi River, provides substantial efficiencies and better service for Midwest shippers by combining barge, rail and truck facilities at one location and creates the northernmost ice-free port on the Mississippi River south of the U.S. system of river locks.",6000000.0,"(38.687936, -90.153812)",38.687936,-90.153812
23,FTA,Urban,Downtown Madison Intermodal Terminal ,City of Madison,2010,Planning,Planning,"The project will develop planning and conceptual design for the downtown Madison intermodal terminal and surrounding areas. The project includes a development plan,
architecture and engineering for a two-block Intermodal Terminal/mixed-use redevelopment site integrated with the new rail station. The plan will look at the Madison Public Market and other supportive retail, replacing an aging parking structure, building a bike station, constructing a potential affordable housing project, and improving links to transportation modes, a hotel, and the Convention Center.",950000.0,"(43.072854, -89.386645)",43.072854,-89.386645
24,FTA,Urban,Moving Central Texas,Capital Metropolitan Transportation Authority,2013,Capital,Transit,TIGER funds will support a series of commuter and freight rail enhancements in central Texas. Project components will improve railways and signal timing to reduce vehicle delay and rail traffic congestion. The freight rail enhancements include the replacement of several bridges and rail rehabilitation and realignments that will improve speeds and safety. Commuter rail improvements include additional sidings and double tracking in the most critical and congested areas.,11337989.0,"(30.284647, -97.735085)",30.284647,-97.735085
25,FRA,Urban,Springfield Rail Improvements,"City of Springfield, Illinois",2013,Capital,Rail,"This underpass is the first stage of the Springfield Rail Improvements Project, which is the central link in the Chicago to St. Louis High-Speed Rail Program. From 2007 to 2010, rail passenger ridership between Chicago and St. Louis increased 34 percent, with an average daily ridership in 2010 of approximately 1,760 passengers per day. The corridor is 284 miles long, the majority of which has a single track and cannot accommodate existing and projected freight and passenger train traffic. This causes freight bottlenecks, travel time delays, and the inability to increase passenger rail service.",14400000.0,"(39.805336, -89.649609)",39.805336,-89.649609
26,FTA,Rural,Muskegon Rural Bus Service,Muskegon County,2012,Capital,Transit,"TIGER funds will enable Muskegon County to purchase three compressed natural gas (CNG) buses, extending transit services to rural areas of the county that are currently not served. The new transit service will provide access to the many large employers located in rural and suburban areas in the county.",1350000.0,"(43.233894, -86.24629)",43.233894,-86.24629
27,FHWA,Rural,Improvements to US-18,South Dakota DOT,2009,Capital,Road,"The project will reconstruct and surface a deteriorating 15.6 mile segment of US-18 in Oglala and Pine Ridge, SD, creating short-term construction-related jobs and long-term employment while increasing safety and saving lives on a road with an accident rate more than 2.5 times that of South Dakota’s average. Shoulders with rumble strips will be constructed, and other measures will be taken to improve safety and diminish the high incidence of fatal road accidents. Additional improvements include adding sidewalks with lighting and improving access to transit. Curbs, gutters and storm sewers will also be constructed.",10000000.0,"(43.223942, -102.714862)",43.223942,-102.714862
28,FHWA,Rural,State University Drive Complete Streets Project (Peach County) ,"City of Fort Valley, Georgia",2010,Capital,Road,"This project will construct streetscape improvements and widen approximately one quarter mile of State University Drive in the vicinity of Fort Valley State University, in Fort Valley, Georgia. Currently, only a portion of State University Drive has a 2-lane, center turn lane configuration with sidewalks. This project will widen a portion of this roadway, creating a 2-lane, center turn lane configuration to match the other section of the roadway. The project will provide a system of sidewalks and crosswalks between downtown Fort Valley and FVSU. It encourages greater pedestrian and bicycle usage along the State Street corridor through Complete Streets improvements, incorporates proper turn lanes to increase vehicular safety and decrease congestion.",1491490.0,"(32.539107, -83.898085)",32.539107,-83.898085
29,FHWA,Rural,Mississippi River Bridges ITS,MS DOT,2011,Capital,Road,"The Mississippi River Bridges project will install ITS improvements on and around four highway bridges that span the Mississippi River, across the states of Mississippi, Arkansas, and Louisiana:  the Helena Bridge (US-49, MS and AR); the Greenville Bridge (US-82, MS and AR); the Vicksburg Bridge (I-20, MS and LA); the Natchez-Vidalia Bridge (US-84, MS and LA).  The improvements include dynamic messaging signs, vehicle detection devices, CCTV, highway advisory radio, and other fiber optic connections that would coordinate communication across the bridges, as well as real-time river monitoring systems that will provide information for barges traveling beneath the bridges.",9814700.0,"(33.002588, -91.165657)",33.002588,-91.165657
30,FHWA,Urban,St. Paul Rail to Multimodal Corridor Plan,City of Saint Paul,2014,Planning,Bicycle-Pedestrian,"This project will fund a design study and master plan for reusing the Canadian Pacific Rail Spur as a multimodal corridor for bicycles, pedestrians, and possibly transit.  The overall objective will be to develop a plan for how the bicycle, pedestrian and transit communities can use the rail line. ",100000.0,"(44.908292, -93.150072)",44.908292,-93.150072
31,FHWA,Urban,Syracuse Connective Corridor,City of Syracuse,2011,Capital,Road,"This project will complete Phases II and III of a project to create a corridor of complete streets that connect the Downtown and University Hill areas and provide cost-effective, sustainable improvements that will re-invigorate downtown economic competitiveness  To improve community connectivity that was severed with the construction of Interstate 81, the project will reconstruct 1.3 miles of the Corridor; construct new multimodal facilities for bicycles, pedestrians and transit services;  enhance safety with traffic calming measures, improved signage systems, and enhanced intersection and street crossings; and introduce green infrastructure.",10000000.0,"(43.050453, -76.143652)",43.050453,-76.143652
32,FHWA,Urban,St. Louis CityArchRiver Revitalization,Missouri DOT,2011,Capital,Road,"The CityArchRiver Bi-State Transportation Loop consists of various roadway improvement projects along the I-70 corridor system in St. Louis.  The current roadway configuration presents a safety hazard to pedestrians and vehicles trying to access Arch Grounds, as well as results in traffic flow inefficiencies.",20000000.0,"(38.624659, -90.184911)",38.624659,-90.184911
33,FTA,Urban,Fort Lauderdale Wave Streetcar Project,South Florida Regional Transportation Authority,2012,Capital,Transit,"TIGER dollars will be used to leverage an additional $65 million from the Florida DOT, the City of Fort Lauderdale, and the Broward Metropolitan Planning Organization to build a new streetcar line in downtown Fort Lauderdale. The 1.4 mile streetcar line will serve the downtown urban center, which includes City Hall, the Federal Courthouse, the financial district, and Las Olas Riverfront. With streetcars running every 7.5 minutes, the Wave will serve an estimated 2,800 riders per day, many of whom will be riding transit for the first time.",18000000.0,"(26.12367, -80.143261)",26.12367,-80.143261
34,FHWA,Urban,US-395 North Spokane Corridor - Francis Ave. to Farwell Rd. Southbound,Washington State DOT,2009,Capital,Road,"The project will build 3.7 miles of southbound US-395 from Francis Avenue to Farwell Road in Spokane County to complement the existing northbound lanes. The northbound lanes are currently being used in a limited fashion for both north and southbound traffic. This project includes community-preferred design features, has bike/pedestrian features, park-and-ride lots, and has the potential for transit. The project is shovel-ready and will quickly create jobs.",35000000.0,"(47.719199, -117.359405)",47.719199,-117.359405
